county,year,totalfilings
Bear Lake County ID  ,2005,50
Benewah County ID  ,2005,71
Bingham County ID,2005,321
Blaine County ID  ,2005,76
Boise County ID  ,2005,52
Bonner County ID  ,2005,227
Bonneville County ID,2005,778
Boundary County ID  ,2005,49
Butte County ID  ,2005,22
Camas County ID  ,2005,7
Canyon County ID,2005,1819
Caribou County ID  ,2005,51
Cassia County ID  ,2005,173
Clark County ID  ,2005,3
Clearwater County ID  ,2005,60
Custer County ID  ,2005,19
Elmore County ID  ,2005,160
Franklin County ID  ,2005,66
Fremont County ID  ,2005,84
Gem County ID  ,2005,120
Gooding County ID  ,2005,106
Idaho County ID  ,2005,68
Jefferson County ID  ,2005,143
Jerome County ID  ,2005,164
Kootenai County ID,2005,1182
Latah County ID  ,2005,129
Lemhi County ID  ,2005,31
Lewis County ID  ,2005,21
Lincoln County ID  ,2005,33
Madison County ID  ,2005,115
Minidoka County ID  ,2005,168
Nez Perce County ID,2005,348
Oneida County ID  ,2005,20
Owyhee County ID  ,2005,96
Payette County ID  ,2005,230
Power County ID  ,2005,60
Shoshone County ID  ,2005,106
Teton County ID  ,2005,32
Twin Falls County ID,2005,580
Valley County ID  ,2005,31
Washington County ID  ,2005,77
Adams County IL,2005,595
Alexander County IL  ,2005,161
Bond County IL  ,2005,125
Boone County IL,2005,401
Brown County IL  ,2005,38
Bureau County IL,2005,354
Calhoun County IL  ,2005,18
Carroll County IL  ,2005,121
Cass County IL  ,2005,100
Champaign County IL,2005,1323
Christian County IL,2005,401
Clark County IL  ,2005,153
Clay County IL  ,2005,111
Clinton County IL  ,2005,199
Coles County IL,2005,495
Cook County IL    ,2005,45429
Crawford County IL  ,2005,175
Cumberland County IL  ,2005,99
DeKalb County IL,2005,586
De Witt County IL  ,2005,169
Douglas County IL  ,2005,155
DuPage County IL,2005,4590
Edgar County IL  ,2005,171
Edwards County IL  ,2005,27
Effingham County IL  ,2005,326
Fayette County IL  ,2005,149
Ford County IL  ,2005,105
Franklin County IL,2005,508
Fulton County IL,2005,376
Gallatin County IL  ,2005,66
Greene County IL  ,2005,87
Grundy County IL,2005,474
Hamilton County IL  ,2005,63
Hancock County IL  ,2005,133
Hardin County IL  ,2005,30
Henderson County IL  ,2005,68
Henry County IL,2005,421
Iroquois County IL  ,2005,266
Jackson County IL,2005,411
Jasper County IL  ,2005,62
Jefferson County IL,2005,391
Jersey County IL  ,2005,180
Jo Daviess County IL  ,2005,78
Johnson County IL  ,2005,91
Kane County IL,2005,2761
Kankakee County IL,2005,1397
Kendall County IL,2005,459
Knox County IL,2005,692
Lake County IL,2005,3690
La Salle County IL,2005,1466
Lawrence County IL  ,2005,106
Lee County IL  ,2005,245
Livingston County IL,2005,338
Logan County IL,2005,344
McDonough County IL  ,2005,185
McHenry County IL,2005,1591
McLean County IL,2005,1337
Macon County IL,2005,1457
Macoupin County IL,2005,380
Madison County IL,2005,3060
Marion County IL,2005,398
Marshall County IL  ,2005,110
Mason County IL  ,2005,184
Massac County IL  ,2005,143
Menard County IL  ,2005,97
Mercer County IL  ,2005,106
Monroe County IL  ,2005,159
Montgomery County IL,2005,306
Morgan County IL,2005,284
Moultrie County IL  ,2005,128
Ogle County IL,2005,408
Peoria County IL,2005,2027
Perry County IL  ,2005,189
Piatt County IL  ,2005,143
Pike County IL  ,2005,128
Pope County IL  ,2005,28
Pulaski County IL  ,2005,91
Putnam County IL  ,2005,51
Randolph County IL  ,2005,246
Richland County IL  ,2005,128
Rock Island County IL,2005,1257
St. Clair County IL,2005,3379
Saline County IL  ,2005,244
Sangamon County IL,2005,2089
Schuyler County IL  ,2005,57
Scott County IL  ,2005,41
Shelby County IL  ,2005,137
Stark County IL  ,2005,67
Stephenson County IL,2005,443
Tazewell County IL,2005,1366
Union County IL  ,2005,167
Vermilion County IL,2005,1045
Wabash County IL  ,2005,95
Warren County IL  ,2005,162
Washington County IL  ,2005,80
Wayne County IL  ,2005,91
White County IL  ,2005,125
Whiteside County IL,2005,567
Will County IL,2005,5020
Williamson County IL,2005,720
Winnebago County IL,2005,3508
Woodford County IL  ,2005,196
Adams County IN  ,2005,246
Allen County IN,2005,4392
Bartholomew County IN,2005,650
Benton County IN  ,2005,104
Blackford County IN  ,2005,179
Boone County IN,2005,451
Brown County IN  ,2005,140
Carroll County IN  ,2005,213
Cass County IN,2005,447
Clark County IN,2005,1398
Clay County IN  ,2005,341
Clinton County IN,2005,408
Crawford County IN  ,2005,116
Daviess County IN  ,2005,165
Dearborn County IN,2005,464
Decatur County IN  ,2005,232
DeKalb County IN,2005,487
Delaware County IN,2005,1284
Dubois County IN  ,2005,219
Elkhart County IN,2005,2203
Fayette County IN,2005,436
Floyd County IN,2005,758
Fountain County IN  ,2005,164
Franklin County IN  ,2005,236
Fulton County IN  ,2005,285
