county,year,totalfilings
Carroll County OH,2010,181
Champaign County OH,2010,290
Clark County OH,2010,795
Clermont County OH,2010,1231
Clinton County OH,2010,250
Columbiana County OH,2010,823
Coshocton County OH  ,2010,179
Crawford County OH,2010,280
Cuyahoga County OH,2010,8608
Darke County OH,2010,265
Defiance County OH,2010,244
Delaware County OH,2010,700
Erie County OH,2010,536
Fairfield County OH,2010,920
Fayette County OH,2010,202
Franklin County OH,2010,7086
Fulton County OH,2010,258
Gallia County OH  ,2010,116
Geauga County OH,2010,347
Greene County OH,2010,728
Guernsey County OH,2010,207
Hamilton County OH,2010,4490
Hancock County OH,2010,407
Hardin County OH,2010,162
Harrison County OH  ,2010,84
Henry County OH  ,2010,119
Highland County OH,2010,241
Hocking County OH  ,2010,138
Holmes County OH  ,2010,92
Huron County OH,2010,359
Jackson County OH  ,2010,173
Jefferson County OH,2010,398
Knox County OH,2010,277
Lake County OH,2010,1435
Lawrence County OH,2010,262
Licking County OH,2010,978
Logan County OH,2010,299
Lorain County OH,2010,2023
Lucas County OH,2010,2976
Madison County OH,2010,257
Mahoning County OH,2010,1756
Marion County OH,2010,330
Medina County OH,2010,1126
Meigs County OH  ,2010,67
Mercer County OH,2010,148
Miami County OH,2010,613
Monroe County OH  ,2010,35
Montgomery County OH,2010,3564
Morgan County OH  ,2010,42
Morrow County OH,2010,188
Muskingum County OH,2010,530
Noble County OH  ,2010,41
Ottawa County OH,2010,237
Paulding County OH  ,2010,132
Perry County OH,2010,198
Pickaway County OH,2010,384
Pike County OH  ,2010,152
Portage County OH,2010,986
Preble County OH,2010,261
Putnam County OH  ,2010,89
Richland County OH,2010,743
Ross County OH,2010,405
Sandusky County OH,2010,337
Scioto County OH,2010,362
Seneca County OH,2010,285
Shelby County OH,2010,293
Stark County OH,2010,2728
Summit County OH,2010,3847
Trumbull County OH,2010,1418
Tuscarawas County OH,2010,513
Union County OH,2010,308
Van Wert County OH,2010,167
Vinton County OH  ,2010,68
Warren County OH,2010,1023
Washington County OH  ,2010,185
Wayne County OH,2010,561
Williams County OH,2010,236
Wood County OH,2010,636
Wyandot County OH  ,2010,108
Adair County OK  ,2010,94
Alfalfa County OK  ,2010,12
Atoka County OK  ,2010,29
Beaver County OK  ,2010,9
Beckham County OK  ,2010,72
Blaine County OK  ,2010,29
Bryan County OK  ,2010,81
Caddo County OK  ,2010,71
Canadian County OK,2010,605
Carter County OK  ,2010,162
Cherokee County OK  ,2010,139
Choctaw County OK  ,2010,37
Cimarron County OK  ,2010,1
Cleveland County OK,2010,1062
Coal County OK  ,2010,10
Comanche County OK,2010,415
Cotton County OK  ,2010,19
Craig County OK  ,2010,77
Creek County OK,2010,336
Custer County OK  ,2010,99
Delaware County OK  ,2010,139
Dewey County OK  ,2010,7
Ellis County OK  ,2010,9
Garfield County OK,2010,204
Garvin County OK  ,2010,114
Grady County OK,2010,229
Grant County OK  ,2010,4
Greer County OK  ,2010,15
Harmon County OK  ,2010,4
Harper County OK  ,2010,6
Haskell County OK  ,2010,31
Hughes County OK  ,2010,44
Jackson County OK  ,2010,78
Jefferson County OK  ,2010,12
Johnston County OK  ,2010,29
Kay County OK,2010,168
Kingfisher County OK  ,2010,34
Kiowa County OK  ,2010,20
Latimer County OK  ,2010,16
Le Flore County OK,2010,166
Lincoln County OK  ,2010,130
Logan County OK  ,2010,143
Love County OK  ,2010,17
McClain County OK  ,2010,155
McCurtain County OK  ,2010,65
McIntosh County OK  ,2010,63
Major County OK  ,2010,16
Marshall County OK  ,2010,44
Mayes County OK,2010,175
Murray County OK  ,2010,39
Muskogee County OK,2010,264
Noble County OK  ,2010,28
Nowata County OK  ,2010,50
Okfuskee County OK  ,2010,35
Oklahoma County OK,2010,3244
Okmulgee County OK  ,2010,148
Osage County OK  ,2010,156
Ottawa County OK,2010,162
Pawnee County OK  ,2010,43
Payne County OK  ,2010,144
Pittsburg County OK  ,2010,125
Pontotoc County OK  ,2010,92
Pottawatomie County OK,2010,349
Pushmataha County OK  ,2010,22
Roger Mills County OK  ,2010,4
Rogers County OK,2010,385
Seminole County OK  ,2010,102
Sequoyah County OK  ,2010,117
Stephens County OK  ,2010,144
Texas County OK  ,2010,27
Tillman County OK  ,2010,25
Tulsa County OK,2010,2588
Wagoner County OK,2010,295
Washington County OK,2010,251
Washita County OK  ,2010,45
Woods County OK  ,2010,14
Woodward County OK  ,2010,51
Baker County OR  ,2010,47
Benton County OR  ,2010,146
Clackamas County OR,2010,2102
Clatsop County OR,2010,174
Columbia County OR,2010,281
Coos County OR,2010,191
Crook County OR,2010,202
Curry County OR  ,2010,77
Deschutes County OR,2010,1548
Douglas County OR,2010,486
Gilliam County OR  ,2010,5
Grant County OR  ,2010,17
Harney County OR  ,2010,24
Hood River County OR  ,2010,63
Jackson County OR,2010,1224
Jefferson County OR  ,2010,111
Josephine County OR,2010,398
Klamath County OR,2010,380
Lake County OR  ,2010,20
Lane County OR,2010,1684
Lincoln County OR,2010,189
Linn County OR,2010,627
Malheur County OR  ,2010,91
Marion County OR,2010,1771
Morrow County OR  ,2010,51
Multnomah County OR,2010,3459
Polk County OR,2010,353
Sherman County OR  ,2010,5
Tillamook County OR  ,2010,112
Umatilla County OR,2010,300
Union County OR  ,2010,76
Wallowa County OR  ,2010,12
Wasco County OR  ,2010,102
Washington County OR,2010,2802
Wheeler County OR  ,2010,1
Yamhill County OR,2010,544
Adams County PA,2010,371
Allegheny County PA,2010,4321
Armstrong County PA,2010,248
Beaver County PA,2010,633
Bedford County PA  ,2010,112
Berks County PA,2010,1481
Blair County PA,2010,323
Bradford County PA  ,2010,126
Bucks County PA,2010,2011
Butler County PA,2010,491
Cambria County PA,2010,369
Cameron County PA  ,2010,26
Carbon County PA,2010,263
Centre County PA,2010,225
Chester County PA,2010,985
Clarion County PA  ,2010,100
Clearfield County PA,2010,242
Clinton County PA  ,2010,53
Columbia County PA  ,2010,159
Crawford County PA,2010,309
Cumberland County PA,2010,716
Dauphin County PA,2010,883
Delaware County PA,2010,1346
Elk County PA  ,2010,60
Erie County PA,2010,973
Fayette County PA,2010,628
Forest County PA  ,2010,17
Franklin County PA,2010,485
Fulton County PA  ,2010,38
Greene County PA  ,2010,120
Huntingdon County PA  ,2010,106
Indiana County PA,2010,196
Jefferson County PA  ,2010,112
Juniata County PA  ,2010,54
Lackawanna County PA,2010,607
Lancaster County PA,2010,1182
Lawrence County PA,2010,400
Lebanon County PA,2010,437
Lehigh County PA,2010,1175
Luzerne County PA,2010,919
Lycoming County PA,2010,222
McKean County PA  ,2010,113
Mercer County PA,2010,415
Mifflin County PA  ,2010,142
Monroe County PA,2010,1035
Montgomery County PA,2010,1952
Montour County PA  ,2010,40
Northampton County PA,2010,1019
Northumberland County PA,2010,267
Perry County PA  ,2010,154
Philadelphia County PA,2010,3447
Pike County PA,2010,397
Potter County PA  ,2010,35
Schuylkill County PA,2010,406
Snyder County PA  ,2010,103
Somerset County PA,2010,227
Sullivan County PA  ,2010,17
Susquehanna County PA  ,2010,67
Tioga County PA  ,2010,97
Union County PA  ,2010,94
Venango County PA  ,2010,177
Warren County PA  ,2010,97
Washington County PA,2010,786
Wayne County PA  ,2010,182
Westmoreland County PA,2010,1402
Wyoming County PA  ,2010,56
York County PA,2010,1575
Bristol County RI  ,2010,125
Kent County RI,2010,1095
Newport County RI,2010,255
Providence County RI,2010,3414
Washington County RI,2010,432
Abbeville County SC  ,2010,38
Aiken County SC,2010,369
Allendale County SC  ,2010,9
Anderson County SC,2010,259
Bamberg County SC  ,2010,38
Barnwell County SC  ,2010,44
Beaufort County SC,2010,460
Berkeley County SC,2010,422
Calhoun County SC  ,2010,45
Charleston County SC,2010,618
Cherokee County SC  ,2010,93
Chester County SC  ,2010,51
Chesterfield County SC  ,2010,49
Clarendon County SC  ,2010,74
Colleton County SC  ,2010,95
Darlington County SC  ,2010,74
Dillon County SC  ,2010,42
Dorchester County SC,2010,321
Edgefield County SC  ,2010,54
Fairfield County SC  ,2010,57
Florence County SC  ,2010,223
Georgetown County SC  ,2010,77
Greenville County SC,2010,739
Greenwood County SC  ,2010,121
Hampton County SC  ,2010,29
Horry County SC,2010,618
Jasper County SC  ,2010,70
Kershaw County SC  ,2010,139
Lancaster County SC  ,2010,127
Laurens County SC  ,2010,72
Lee County SC  ,2010,33
Lexington County SC,2010,593
McCormick County SC  ,2010,22
Marion County SC  ,2010,45
Marlboro County SC  ,2010,50
Newberry County SC  ,2010,78
Oconee County SC  ,2010,89
Orangeburg County SC  ,2010,211
Pickens County SC  ,2010,195
Richland County SC,2010,854
Saluda County SC  ,2010,30
Spartanburg County SC,2010,517
Sumter County SC  ,2010,278
Union County SC  ,2010,68
Williamsburg County SC  ,2010,45
York County SC,2010,492
Aurora County SD  ,2010,2
Beadle County SD  ,2010,35
Bennett County SD  ,2010,1
Bon Homme County SD  ,2010,9
Brookings County SD  ,2010,54
Brown County SD  ,2010,94
Brule County SD  ,2010,6
Butte County SD  ,2010,35
Campbell County SD  ,2010,4
Charles Mix County SD  ,2010,5
Clark County SD  ,2010,7
Clay County SD  ,2010,21
Codington County SD  ,2010,82
Corson County SD  ,2010,2
Custer County SD  ,2010,18
Davison County SD  ,2010,51
Day County SD  ,2010,15
Deuel County SD  ,2010,11
Dewey County SD  ,2010,1
Edmunds County SD  ,2010,3
Fall River County SD  ,2010,28
Faulk County SD  ,2010,4
Grant County SD  ,2010,18
Gregory County SD  ,2010,7
Haakon County SD  ,2010,1
Hamlin County SD  ,2010,13
Hand County SD  ,2010,3
Hanson County SD  ,2010,4
Hughes County SD  ,2010,40
Hutchinson County SD  ,2010,7
Hyde County SD  ,2010,1
Jerauld County SD  ,2010,6
Kingsbury County SD  ,2010,13
Lake County SD  ,2010,21
Lawrence County SD  ,2010,71
Lincoln County SD  ,2010,112
Lyman County SD  ,2010,4
McCook County SD  ,2010,11
McPherson County SD  ,2010,0
Marshall County SD  ,2010,3
Meade County SD  ,2010,83
Mellette County SD  ,2010,1
Miner County SD  ,2010,3
Minnehaha County SD,2010,586
Moody County SD  ,2010,15
Pennington County SD,2010,274
Perkins County SD  ,2010,2
Potter County SD  ,2010,1
Roberts County SD  ,2010,10
Sanborn County SD  ,2010,2
Shannon County SD  ,2010,4
Spink County SD  ,2010,9
Stanley County SD  ,2010,4
Sully County SD  ,2010,0
Todd County SD  ,2010,1
Tripp County SD  ,2010,6
Turner County SD  ,2010,24
Union County SD  ,2010,33
Walworth County SD  ,2010,9
Yankton County SD  ,2010,40
Anderson County TN,2010,403
Bedford County TN  ,2010,239
Benton County TN  ,2010,128
Bledsoe County TN  ,2010,58
Blount County TN,2010,814
Bradley County TN,2010,918
Campbell County TN  ,2010,189
Cannon County TN  ,2010,65
Carroll County TN  ,2010,259
Carter County TN,2010,256
Cheatham County TN,2010,247
Chester County TN  ,2010,93
Claiborne County TN  ,2010,131
Clay County TN  ,2010,34
Cocke County TN,2010,230
Coffee County TN,2010,276
Crockett County TN  ,2010,135
Cumberland County TN,2010,296
Davidson County TN,2010,4176
Decatur County TN  ,2010,77
DeKalb County TN  ,2010,96
Dickson County TN,2010,302
Dyer County TN,2010,382
Fayette County TN  ,2010,311
Fentress County TN  ,2010,79
Franklin County TN  ,2010,196
Gibson County TN,2010,437
Giles County TN  ,2010,171
Grainger County TN  ,2010,129
Greene County TN,2010,420
Grundy County TN  ,2010,69
Hamblen County TN,2010,371
Hamilton County TN,2010,2851
Hancock County TN  ,2010,18
Hardeman County TN  ,2010,256
Hardin County TN  ,2010,142
Hawkins County TN,2010,343
Haywood County TN  ,2010,184
Henderson County TN  ,2010,241
Henry County TN  ,2010,172
Hickman County TN  ,2010,166
Houston County TN  ,2010,34
Humphreys County TN  ,2010,97
Jackson County TN  ,2010,57
Jefferson County TN,2010,324
Johnson County TN  ,2010,44
Knox County TN,2010,2310
Lake County TN  ,2010,37
Lauderdale County TN  ,2010,281
Lawrence County TN,2010,226
Lewis County TN  ,2010,85
Lincoln County TN  ,2010,161
Loudon County TN,2010,276
McMinn County TN,2010,363
McNairy County TN  ,2010,186
Macon County TN  ,2010,119
Madison County TN,2010,953
Marion County TN  ,2010,172
Marshall County TN,2010,260
Maury County TN,2010,729
Meigs County TN  ,2010,98
Monroe County TN,2010,275
Montgomery County TN,2010,857
Moore County TN  ,2010,18
Morgan County TN  ,2010,86
Obion County TN  ,2010,189
Overton County TN  ,2010,96
Perry County TN  ,2010,44
Pickett County TN  ,2010,24
Polk County TN  ,2010,127
Putnam County TN,2010,406
Rhea County TN  ,2010,258
Roane County TN,2010,251
Robertson County TN,2010,471
Rutherford County TN,2010,1755
Scott County TN  ,2010,60
Sequatchie County TN  ,2010,75
Sevier County TN,2010,646
Shelby County TN,2010,13119
Smith County TN  ,2010,67
Stewart County TN  ,2010,56
Sullivan County TN,2010,902
Sumner County TN,2010,1149
Tipton County TN,2010,604
Trousdale County TN  ,2010,53
Unicoi County TN  ,2010,87
Union County TN  ,2010,115
Van Buren County TN  ,2010,20
Warren County TN  ,2010,165
Washington County TN,2010,644
Wayne County TN  ,2010,58
Weakley County TN  ,2010,164
White County TN  ,2010,174
Williamson County TN,2010,656
Wilson County TN,2010,682
Anderson County TX  ,2010,72
Andrews County TX  ,2010,10
Angelina County TX  ,2010,157
Aransas County TX  ,2010,48
Archer County TX  ,2010,23
Armstrong County TX  ,2010,3
Atascosa County TX  ,2010,72
Austin County TX  ,2010,42
Bailey County TX  ,2010,9
Bandera County TX  ,2010,33
Bastrop County TX  ,2010,141
Baylor County TX  ,2010,7
Bee County TX  ,2010,19
Bell County TX,2010,687
Bexar County TX,2010,3764
Blanco County TX  ,2010,13
Bosque County TX  ,2010,31
Bowie County TX  ,2010,210
Brazoria County TX,2010,560
Brazos County TX  ,2010,104
Brewster County TX  ,2010,3
Brooks County TX  ,2010,4
Brown County TX  ,2010,50
Burleson County TX  ,2010,10
Burnet County TX  ,2010,77
Caldwell County TX  ,2010,41
Calhoun County TX  ,2010,16
Callahan County TX  ,2010,27
Cameron County TX,2010,744
Camp County TX  ,2010,13
Carson County TX  ,2010,9
Cass County TX  ,2010,86
Castro County TX  ,2010,5
Chambers County TX  ,2010,39
Cherokee County TX  ,2010,98
Childress County TX  ,2010,5
Clay County TX  ,2010,37
Cochran County TX  ,2010,2
Coke County TX  ,2010,3
Coleman County TX  ,2010,11
Collin County TX,2010,2748
Collingsworth County TX  ,2010,3
Colorado County TX  ,2010,19
Comal County TX,2010,240
Comanche County TX  ,2010,14
Concho County TX  ,2010,3
Cooke County TX  ,2010,59
Coryell County TX  ,2010,122
Cottle County TX  ,2010,1
Crane County TX  ,2010,1
Crockett County TX  ,2010,1
Crosby County TX  ,2010,1
Culberson County TX  ,2010,1
Dallam County TX  ,2010,15
Dallas County TX,2010,6239
Dawson County TX  ,2010,12
Deaf Smith County TX  ,2010,19
Delta County TX  ,2010,9
Denton County TX,2010,1924
DeWitt County TX  ,2010,14
Dickens County TX  ,2010,2
Dimmit County TX  ,2010,4
Donley County TX  ,2010,5
Duval County TX  ,2010,5
Eastland County TX  ,2010,29
Ector County TX  ,2010,127
Edwards County TX  ,2010,1
Ellis County TX,2010,474
El Paso County TX,2010,2641
Erath County TX  ,2010,49
Falls County TX  ,2010,28
Fannin County TX  ,2010,73
Fayette County TX  ,2010,21
Fisher County TX  ,2010,5
Floyd County TX  ,2010,2
Foard County TX  ,2010,2
Fort Bend County TX,2010,1273
Franklin County TX  ,2010,11
Freestone County TX  ,2010,18
Frio County TX  ,2010,4
Gaines County TX  ,2010,13
Galveston County TX,2010,624
Garza County TX  ,2010,2
Gillespie County TX  ,2010,29
Goliad County TX  ,2010,14
Gonzales County TX  ,2010,15
Gray County TX  ,2010,31
Grayson County TX,2010,320
Gregg County TX  ,2010,194
Grimes County TX  ,2010,27
Guadalupe County TX  ,2010,241
Hale County TX  ,2010,40
Hall County TX  ,2010,6
Hamilton County TX  ,2010,16
Hansford County TX  ,2010,0
Hardeman County TX  ,2010,9
Hardin County TX  ,2010,95
Harris County TX,2010,7942
Harrison County TX  ,2010,129
Hartley County TX  ,2010,7
Haskell County TX  ,2010,5
Hays County TX,2010,322
Hemphill County TX  ,2010,3
Henderson County TX  ,2010,185
Hidalgo County TX,2010,933
Hill County TX  ,2010,70
Hockley County TX  ,2010,23
Hood County TX  ,2010,132
Hopkins County TX  ,2010,53
Houston County TX  ,2010,30
Howard County TX  ,2010,34
Hudspeth County TX  ,2010,4
Hunt County TX  ,2010,175
Hutchinson County TX  ,2010,33
Irion County TX  ,2010,1
Jack County TX  ,2010,13
Jackson County TX  ,2010,12
Jasper County TX  ,2010,48
Jeff Davis County TX  ,2010,1
Jefferson County TX  ,2010,385
Jim Hogg County TX  ,2010,8
Jim Wells County TX  ,2010,54
Johnson County TX,2010,479
Jones County TX  ,2010,30
Karnes County TX  ,2010,7
Kaufman County TX,2010,386
Kendall County TX  ,2010,64
Kent County TX  ,2010,1
Kerr County TX  ,2010,73
Kimble County TX  ,2010,2
Kinney County TX  ,2010,1
Kleberg County TX  ,2010,33
Lamar County TX  ,2010,52
Lamb County TX  ,2010,10
Lampasas County TX  ,2010,31
La Salle County TX  ,2010,5
Lavaca County TX  ,2010,15
Lee County TX  ,2010,17
Leon County TX  ,2010,13
Liberty County TX  ,2010,97
Limestone County TX  ,2010,27
Lipscomb County TX  ,2010,3
Live Oak County TX  ,2010,12
Llano County TX  ,2010,37
Lubbock County TX,2010,384
Lynn County TX  ,2010,2
McCulloch County TX  ,2010,5
McLennan County TX,2010,466
McMullen County TX  ,2010,1
Madison County TX  ,2010,10
Marion County TX  ,2010,16
Martin County TX  ,2010,2
Mason County TX  ,2010,1
Matagorda County TX  ,2010,20
Maverick County TX  ,2010,21
Medina County TX  ,2010,77
Midland County TX  ,2010,143
Milam County TX  ,2010,29
Mitchell County TX  ,2010,11
Montague County TX  ,2010,32
Montgomery County TX,2010,845
Moore County TX  ,2010,29
Morris County TX  ,2010,22
Nacogdoches County TX  ,2010,99
Navarro County TX  ,2010,70
Newton County TX  ,2010,14
Nolan County TX  ,2010,20
Nueces County TX,2010,583
Ochiltree County TX  ,2010,7
Oldham County TX  ,2010,2
Orange County TX  ,2010,152
Palo Pinto County TX  ,2010,57
Panola County TX  ,2010,51
Parker County TX,2010,367
Parmer County TX  ,2010,13
Pecos County TX  ,2010,8
Polk County TX  ,2010,75
Potter County TX,2010,275
Presidio County TX  ,2010,3
Rains County TX  ,2010,14
Randall County TX,2010,308
Reagan County TX  ,2010,1
Real County TX  ,2010,4
Red River County TX  ,2010,17
Reeves County TX  ,2010,14
Refugio County TX  ,2010,10
Roberts County TX  ,2010,0
Robertson County TX  ,2010,16
Rockwall County TX  ,2010,267
Runnels County TX  ,2010,14
Rusk County TX  ,2010,76
Sabine County TX  ,2010,16
San Augustine County TX  ,2010,14
San Jacinto County TX  ,2010,30
San Patricio County TX  ,2010,111
San Saba County TX  ,2010,2
Schleicher County TX  ,2010,3
Scurry County TX  ,2010,16
Shackelford County TX  ,2010,1
Shelby County TX  ,2010,40
Sherman County TX  ,2010,3
Smith County TX,2010,432
Somervell County TX  ,2010,9
Starr County TX  ,2010,22
Stephens County TX  ,2010,10
Stonewall County TX  ,2010,1
Sutton County TX  ,2010,1
Swisher County TX  ,2010,9
Tarrant County TX,2010,6457
Taylor County TX  ,2010,261
Terry County TX  ,2010,14
Throckmorton County TX  ,2010,1
Titus County TX  ,2010,36
Tom Green County TX,2010,195
Travis County TX,2010,1679
Trinity County TX  ,2010,22
Tyler County TX  ,2010,31
Upshur County TX  ,2010,64
Upton County TX  ,2010,1
Uvalde County TX  ,2010,20
Val Verde County TX  ,2010,39
Van Zandt County TX  ,2010,107
Victoria County TX  ,2010,84
Walker County TX  ,2010,41
Waller County TX  ,2010,68
Ward County TX  ,2010,3
Washington County TX  ,2010,18
Webb County TX,2010,302
Wharton County TX  ,2010,32
Wheeler County TX  ,2010,1
Wichita County TX  ,2010,411
Wilbarger County TX  ,2010,33
Willacy County TX  ,2010,21
Williamson County TX,2010,989
Wilson County TX  ,2010,66
Winkler County TX  ,2010,6
Wise County TX  ,2010,153
Wood County TX  ,2010,95
Yoakum County TX  ,2010,4
Young County TX  ,2010,27
Zapata County TX  ,2010,4
Zavala County TX  ,2010,2
Beaver County UT  ,2010,25
Box Elder County UT,2010,290
Cache County UT,2010,415
Carbon County UT,2010,178
Daggett County UT  ,2010,3
Davis County UT,2010,1892
Duchesne County UT  ,2010,88
Emery County UT  ,2010,46
Garfield County UT  ,2010,12
Grand County UT  ,2010,45
Iron County UT,2010,314
Juab County UT  ,2010,39
Kane County UT  ,2010,20
Millard County UT  ,2010,39
Morgan County UT  ,2010,27
Piute County UT  ,2010,2
Rich County UT  ,2010,13
Salt Lake County UT,2010,7447
San Juan County UT  ,2010,19
Sanpete County UT  ,2010,86
Sevier County UT  ,2010,87
Summit County UT  ,2010,128
Tooele County UT,2010,481
Uintah County UT  ,2010,164
Utah County UT,2010,2908
Wasatch County UT  ,2010,135
Washington County UT,2010,1123
Wayne County UT  ,2010,8
Weber County UT,2010,1719
Addison County VT  ,2010,82
Bennington County VT  ,2010,124
Caledonia County VT  ,2010,73
Chittenden County VT,2010,375
Essex County VT  ,2010,17
Franklin County VT  ,2010,163
Grand Isle County VT  ,2010,35
Lamoille County VT  ,2010,54
Orange County VT  ,2010,71
Orleans County VT  ,2010,53
Rutland County VT  ,2010,162
Washington County VT  ,2010,110
Windham County VT  ,2010,112
Windsor County VT  ,2010,137
Accomack County VA  ,2010,81
Albemarle County VA,2010,251
Alleghany County VA  ,2010,57
Amelia County VA  ,2010,105
Amherst County VA  ,2010,206
Appomattox County VA  ,2010,79
Arlington County VA,2010,341
Augusta County VA,2010,317
Bath County VA  ,2010,7
Bedford County VA,2010,414
Bland County VA  ,2010,16
Botetourt County VA  ,2010,122
Brunswick County VA  ,2010,52
Buchanan County VA  ,2010,36
Buckingham County VA  ,2010,73
Campbell County VA,2010,337
Caroline County VA  ,2010,248
Carroll County VA  ,2010,95
Charles City County VA  ,2010,51
Charlotte County VA  ,2010,51
Chesterfield County VA,2010,1825
Clarke County VA  ,2010,58
Craig County VA  ,2010,14
Culpeper County VA,2010,257
Cumberland County VA  ,2010,38
Dickenson County VA  ,2010,51
Dinwiddie County VA  ,2010,165
Essex County VA  ,2010,47
Fairfax County VA,2010,3976
Fauquier County VA,2010,389
Floyd County VA  ,2010,39
Fluvanna County VA  ,2010,126
Franklin County VA,2010,235
Frederick County VA,2010,388
Giles County VA  ,2010,70
Gloucester County VA  ,2010,173
Goochland County VA  ,2010,110
Grayson County VA  ,2010,37
Greene County VA  ,2010,64
Greensville County VA  ,2010,45
Halifax County VA  ,2010,112
Hanover County VA,2010,471
Henrico County VA,2010,1772
Henry County VA,2010,254
Highland County VA  ,2010,9
Isle of Wight County VA  ,2010,147
James City County VA,2010,264
King and Queen County VA  ,2010,47
King George County VA  ,2010,90
King William County VA  ,2010,105
Lancaster County VA  ,2010,53
Lee County VA  ,2010,51
Loudoun County VA,2010,1397
Louisa County VA  ,2010,148
Lunenburg County VA  ,2010,63
Madison County VA  ,2010,54
Mathews County VA  ,2010,33
Mecklenburg County VA  ,2010,126
Middlesex County VA  ,2010,44
Montgomery County VA,2010,197
Nelson County VA  ,2010,67
New Kent County VA  ,2010,105
Northampton County VA  ,2010,32
Northumberland County VA  ,2010,41
Nottoway County VA  ,2010,70
Orange County VA  ,2010,156
Page County VA  ,2010,82
Patrick County VA  ,2010,45
Pittsylvania County VA,2010,294
Powhatan County VA  ,2010,121
Prince Edward County VA  ,2010,74
Prince George County VA  ,2010,149
Prince William County VA,2010,2883
Pulaski County VA  ,2010,143
Rappahannock County VA  ,2010,31
Richmond County VA  ,2010,71
Roanoke County VA,2010,370
Rockbridge County VA  ,2010,111
Rockingham County VA,2010,211
Russell County VA  ,2010,67
Scott County VA  ,2010,83
Shenandoah County VA  ,2010,143
Smyth County VA  ,2010,121
Southampton County VA  ,2010,66
Spotsylvania County VA,2010,771
Stafford County VA,2010,647
Surry County VA  ,2010,23
Sussex County VA  ,2010,46
Tazewell County VA  ,2010,128
Warren County VA,2010,187
Washington County VA,2010,228
Westmoreland County VA  ,2010,70
Wise County VA  ,2010,144
Wythe County VA  ,2010,93
York County VA  ,2010,150
Alexandria City VA,2010,426
Bedford City VA  ,2010,19
Bristol City VA  ,2010,40
Buena Vista City VA  ,2010,24
Charlottesville City VA  ,2010,82
Chesapeake City VA,2010,1274
Colonial Heights City VA  ,2010,112
Covington City VA  ,2010,14
Danville City VA  ,2010,164
Emporia City VA  ,2010,12
Fairfax City VA  ,2010,124
Falls Church City VA  ,2010,26
Franklin City VA  ,2010,54
Fredericksburg City VA  ,2010,110
Galax City VA  ,2010,3
Hampton City VA,2010,725
Harrisonburg City VA  ,2010,60
Hopewell City VA  ,2010,134
Lexington City VA  ,2010,17
Lynchburg City VA,2010,342
Manassas City VA,2010,193
Manassas Park City VA  ,2010,41
Martinsville City VA  ,2010,38
Newport News City VA,2010,908
Norfolk City VA,2010,1013
Norton City VA  ,2010,19
Petersburg City VA  ,2010,230
Poquoson City VA  ,2010,44
Portsmouth City VA,2010,567
Radford City VA  ,2010,29
Richmond City VA,2010,1163
Roanoke City VA,2010,518
Salem City VA  ,2010,91
Staunton City VA  ,2010,126
Suffolk City VA,2010,444
Virginia Beach City VA,2010,2321
Waynesboro City VA  ,2010,115
Williamsburg City VA  ,2010,35
Winchester City VA  ,2010,115
Adams County WA  ,2010,70
Asotin County WA  ,2010,72
Benton County WA,2010,729
Chelan County WA,2010,328
Clallam County WA,2010,301
Clark County WA,2010,2859
Columbia County WA  ,2010,17
Cowlitz County WA,2010,512
Douglas County WA,2010,185
Ferry County WA  ,2010,21
Franklin County WA,2010,284
Garfield County WA  ,2010,3
Grant County WA,2010,399
Grays Harbor County WA,2010,376
Island County WA,2010,272
Jefferson County WA  ,2010,126
King County WA,2010,7984
Kitsap County WA,2010,1044
Kittitas County WA,2010,186
Klickitat County WA  ,2010,71
Lewis County WA,2010,430
Lincoln County WA  ,2010,40
Mason County WA,2010,337
Okanogan County WA  ,2010,113
Pacific County WA  ,2010,68
Pend Oreille County WA  ,2010,48
Pierce County WA,2010,4839
San Juan County WA  ,2010,31
Skagit County WA,2010,629
Skamania County WA  ,2010,33
Snohomish County WA,2010,4038
Spokane County WA,2010,2485
Stevens County WA  ,2010,160
Thurston County WA,2010,1234
Wahkiakum County WA  ,2010,14
Walla Walla County WA,2010,237
Whatcom County WA,2010,793
Whitman County WA  ,2010,74
Yakima County WA,2010,1534
Barbour County WV  ,2010,40
Berkeley County WV,2010,561
Boone County WV  ,2010,66
Braxton County WV  ,2010,10
Brooke County WV  ,2010,97
Cabell County WV,2010,338
Calhoun County WV  ,2010,9
Clay County WV  ,2010,29
Doddridge County WV  ,2010,22
Fayette County WV  ,2010,116
Gilmer County WV  ,2010,11
Grant County WV  ,2010,28
Greenbrier County WV  ,2010,102
Hampshire County WV  ,2010,78
Hancock County WV  ,2010,133
Hardy County WV  ,2010,26
Harrison County WV,2010,219
Jackson County WV  ,2010,93
Jefferson County WV,2010,222
Kanawha County WV,2010,509
Lewis County WV  ,2010,59
Lincoln County WV  ,2010,90
Logan County WV  ,2010,93
McDowell County WV  ,2010,38
Marion County WV  ,2010,122
Marshall County WV  ,2010,111
Mason County WV  ,2010,100
Mercer County WV,2010,178
Mineral County WV  ,2010,81
Mingo County WV  ,2010,77
Monongalia County WV,2010,180
Monroe County WV  ,2010,33
Morgan County WV  ,2010,60
Nicholas County WV  ,2010,55
Ohio County WV  ,2010,136
Pendleton County WV  ,2010,6
Pleasants County WV  ,2010,19
Pocahontas County WV  ,2010,14
Preston County WV  ,2010,75
Putnam County WV  ,2010,161
