year,county,Divorced; Estimate; Population 15 years and over
2005,"Bernalillo County, New Mexico",14.1
2005,"Dona Ana County, New Mexico",9
2005,"McKinley County, New Mexico",6.3
2005,"Sandoval County, New Mexico",12.1
2005,"San Juan County, New Mexico",7.8
2005,"Santa Fe County, New Mexico",15.3
2005,"Valencia County, New Mexico",13.4
2005,"Albany County, New York",9.3
2005,"Bronx County, New York",8.5
2005,"Broome County, New York",10.5
2005,"Cattaraugus County, New York",11.6
2005,"Cayuga County, New York",9.5
2005,"Chautauqua County, New York",11.2
2005,"Chemung County, New York",12.3
2005,"Clinton County, New York",10
2005,"Dutchess County, New York",8.1
2005,"Erie County, New York",9.7
2005,"Jefferson County, New York",9.7
2005,"Kings County, New York",7.7
2005,"Madison County, New York",10.9
2005,"Monroe County, New York",9.4
2005,"Nassau County, New York",6.3
2005,"New York County, New York",9.7
2005,"Niagara County, New York",10.4
2005,"Oneida County, New York",11.2
2005,"Onondaga County, New York",10.5
2005,"Ontario County, New York",10.8
2005,"Orange County, New York",7.4
2005,"Oswego County, New York",10
2005,"Putnam County, New York",7.8
2005,"Queens County, New York",7.8
2005,"Rensselaer County, New York",8.8
2005,"Richmond County, New York",6.6
2005,"Rockland County, New York",7.3
2005,"St. Lawrence County, New York",10.2
2005,"Saratoga County, New York",9.2
2005,"Schenectady County, New York",12.1
2005,"Steuben County, New York",10.4
2005,"Suffolk County, New York",7.2
2005,"Sullivan County, New York",9.2
2005,"Tompkins County, New York",7.8
2005,"Ulster County, New York",9
2005,"Warren County, New York",8.8
2005,"Wayne County, New York",9.4
2005,"Westchester County, New York",7.3
2005,"Alamance County, North Carolina",11.3
2005,"Brunswick County, North Carolina",10
2005,"Buncombe County, North Carolina",11.7
2005,"Burke County, North Carolina",11.8
2005,"Cabarrus County, North Carolina",7.6
2005,"Caldwell County, North Carolina",9.7
2005,"Catawba County, North Carolina",11.5
2005,"Cleveland County, North Carolina",9.7
2005,"Craven County, North Carolina",8.6
2005,"Cumberland County, North Carolina",11.8
2005,"Davidson County, North Carolina",9.3
2005,"Durham County, North Carolina",8.4
2005,"Forsyth County, North Carolina",10.3
2005,"Gaston County, North Carolina",10.6
2005,"Guilford County, North Carolina",10.6
2005,"Harnett County, North Carolina",9.8
2005,"Henderson County, North Carolina",9.2
2005,"Iredell County, North Carolina",9.1
2005,"Johnston County, North Carolina",10.4
2005,"Lincoln County, North Carolina",9.2
2005,"Mecklenburg County, North Carolina",9.7
2005,"Moore County, North Carolina",9.4
2005,"Nash County, North Carolina",10.9
2005,"New Hanover County, North Carolina",10.3
2005,"Onslow County, North Carolina",10.1
2005,"Orange County, North Carolina",10.1
2005,"Pitt County, North Carolina",9.4
2005,"Randolph County, North Carolina",9.4
2005,"Robeson County, North Carolina",8.2
2005,"Rockingham County, North Carolina",10.5
2005,"Rowan County, North Carolina",9.6
2005,"Surry County, North Carolina",10.5
2005,"Union County, North Carolina",7.7
2005,"Wake County, North Carolina",8.6
2005,"Wayne County, North Carolina",9
2005,"Wilkes County, North Carolina",9.2
2005,"Wilson County, North Carolina",10.6
2005,"Burleigh County, North Dakota",9.5
2005,"Cass County, North Dakota",9.8
2005,"Grand Forks County, North Dakota",10.7
2005,"Allen County, Ohio",11.9
2005,"Ashtabula County, Ohio",13.2
2005,"Belmont County, Ohio",10.9
2005,"Butler County, Ohio",11.5
2005,"Clark County, Ohio",11.5
2005,"Clermont County, Ohio",9.9
2005,"Columbiana County, Ohio",11.6
2005,"Cuyahoga County, Ohio",11.5
2005,"Delaware County, Ohio",7
2005,"Erie County, Ohio",10.2
2005,"Fairfield County, Ohio",10.4
2005,"Franklin County, Ohio",11.4
2005,"Geauga County, Ohio",8.8
2005,"Greene County, Ohio",8.8
2005,"Hamilton County, Ohio",10.7
2005,"Hancock County, Ohio",9.6
2005,"Jefferson County, Ohio",11.8
2005,"Lake County, Ohio",10.8
2005,"Licking County, Ohio",12.6
2005,"Lorain County, Ohio",10.2
2005,"Lucas County, Ohio",12.5
2005,"Mahoning County, Ohio",11.3
2005,"Marion County, Ohio",16
2005,"Medina County, Ohio",7.4
2005,"Miami County, Ohio",9.6
2005,"Montgomery County, Ohio",14.5
2005,"Muskingum County, Ohio",13.6
2005,"Portage County, Ohio",9.8
2005,"Richland County, Ohio",10.6
2005,"Ross County, Ohio",10.2
2005,"Scioto County, Ohio",14.3
2005,"Stark County, Ohio",11.3
2005,"Summit County, Ohio",10.9
2005,"Trumbull County, Ohio",11.9
2005,"Tuscarawas County, Ohio",10.5
2005,"Warren County, Ohio",9.9
2005,"Wayne County, Ohio",9.7
2005,"Wood County, Ohio",7.9
2005,"Canadian County, Oklahoma",9.3
2005,"Cleveland County, Oklahoma",10.9
2005,"Comanche County, Oklahoma",13.4
2005,"Creek County, Oklahoma",10.4
2005,"Muskogee County, Oklahoma",12.4
2005,"Oklahoma County, Oklahoma",13.8
2005,"Payne County, Oklahoma",9.6
2005,"Pottawatomie County, Oklahoma",12
2005,"Rogers County, Oklahoma",11.8
2005,"Tulsa County, Oklahoma",13.4
2005,"Benton County, Oregon",9.7
2005,"Clackamas County, Oregon",10.8
2005,"Deschutes County, Oregon",10.3
2005,"Douglas County, Oregon",16.3
2005,"Jackson County, Oregon",13.9
2005,"Josephine County, Oregon",14.5
2005,"Klamath County, Oregon",14
2005,"Lane County, Oregon",13
2005,"Linn County, Oregon",11.7
2005,"Marion County, Oregon",11.2
2005,"Multnomah County, Oregon",13.2
2005,"Polk County, Oregon",11.1
2005,"Umatilla County, Oregon",11.3
2005,"Washington County, Oregon",11
2005,"Yamhill County, Oregon",9
2005,"Adams County, Pennsylvania",10.7
2005,"Allegheny County, Pennsylvania",9.2
2005,"Armstrong County, Pennsylvania",7.7
2005,"Beaver County, Pennsylvania",9.4
2005,"Berks County, Pennsylvania",8.2
2005,"Blair County, Pennsylvania",10
2005,"Bucks County, Pennsylvania",7.4
2005,"Butler County, Pennsylvania",7.3
2005,"Cambria County, Pennsylvania",9.6
2005,"Centre County, Pennsylvania",6.1
2005,"Chester County, Pennsylvania",7.5
2005,"Clearfield County, Pennsylvania",10.7
2005,"Crawford County, Pennsylvania",10.5
2005,"Cumberland County, Pennsylvania",9.4
2005,"Dauphin County, Pennsylvania",10.6
2005,"Delaware County, Pennsylvania",8.4
2005,"Erie County, Pennsylvania",9.4
2005,"Fayette County, Pennsylvania",7.6
2005,"Franklin County, Pennsylvania",7.5
2005,"Indiana County, Pennsylvania",7.3
2005,"Lackawanna County, Pennsylvania",8.6
2005,"Lancaster County, Pennsylvania",8.1
2005,"Lawrence County, Pennsylvania",6.6
2005,"Lebanon County, Pennsylvania",10.4
2005,"Lehigh County, Pennsylvania",10.3
2005,"Luzerne County, Pennsylvania",9.1
2005,"Lycoming County, Pennsylvania",9.4
2005,"Mercer County, Pennsylvania",8.2
2005,"Monroe County, Pennsylvania",8.7
2005,"Montgomery County, Pennsylvania",7.2
2005,"Northampton County, Pennsylvania",8.2
2005,"Northumberland County, Pennsylvania",9.2
2005,"Philadelphia County, Pennsylvania",9.1
2005,"Schuylkill County, Pennsylvania",10.8
2005,"Somerset County, Pennsylvania",9.7
2005,"Washington County, Pennsylvania",9.2
2005,"Westmoreland County, Pennsylvania",8.1
2005,"York County, Pennsylvania",10.2
2005,"Kent County, Rhode Island",11.3
2005,"Newport County, Rhode Island",10.5
2005,"Providence County, Rhode Island",10.8
2005,"Washington County, Rhode Island",10
2005,"Aiken County, South Carolina",11.9
2005,"Anderson County, South Carolina",9.5
2005,"Beaufort County, South Carolina",7.6
2005,"Berkeley County, South Carolina",11.6
2005,"Charleston County, South Carolina",10.7
2005,"Darlington County, South Carolina",9.1
2005,"Dorchester County, South Carolina",10.8
2005,"Florence County, South Carolina",9
2005,"Greenville County, South Carolina",8.7
2005,"Greenwood County, South Carolina",12.1
2005,"Horry County, South Carolina",12.8
2005,"Laurens County, South Carolina",11.7
2005,"Lexington County, South Carolina",8.6
2005,"Oconee County, South Carolina",8.3
2005,"Orangeburg County, South Carolina",10.3
2005,"Pickens County, South Carolina",7.1
2005,"Richland County, South Carolina",9.4
2005,"Spartanburg County, South Carolina",9.7
2005,"Sumter County, South Carolina",10.5
2005,"York County, South Carolina",9.4
2005,"Minnehaha County, South Dakota",9.9
2005,"Pennington County, South Dakota",12.2
2005,"Anderson County, Tennessee",13.9
2005,"Blount County, Tennessee",13.1
2005,"Bradley County, Tennessee",13.1
2005,"Davidson County, Tennessee",13.4
2005,"Greene County, Tennessee",14.9
2005,"Hamilton County, Tennessee",14.1
2005,"Knox County, Tennessee",12.9
2005,"Madison County, Tennessee",10.5
2005,"Maury County, Tennessee",11.4
2005,"Montgomery County, Tennessee",10
2005,"Putnam County, Tennessee",11.7
2005,"Rutherford County, Tennessee",11.8
2005,"Sevier County, Tennessee",13.6
2005,"Shelby County, Tennessee",11.4
2005,"Sullivan County, Tennessee",14.4
2005,"Sumner County, Tennessee",9.9
2005,"Washington County, Tennessee",13.1
2005,"Williamson County, Tennessee",7.3
2005,"Wilson County, Tennessee",12.5
2005,"Angelina County, Texas",10.4
2005,"Bastrop County, Texas",10.2
2005,"Bell County, Texas",11.1
2005,"Bexar County, Texas",11.2
2005,"Bowie County, Texas",14
2005,"Brazoria County, Texas",9.3
2005,"Brazos County, Texas",6.6
2005,"Cameron County, Texas",6.5
2005,"Collin County, Texas",9.8
2005,"Comal County, Texas",8.9
2005,"Coryell County, Texas",9
2005,"Dallas County, Texas",10.9
2005,"Denton County, Texas",9.3
2005,"Ector County, Texas",10.1
2005,"Ellis County, Texas",10
2005,"El Paso County, Texas",10.7
2005,"Fort Bend County, Texas",6.9
2005,"Galveston County, Texas",11.9
2005,"Grayson County, Texas",14.2
2005,"Gregg County, Texas",14.9
2005,"Guadalupe County, Texas",8.5
2005,"Harris County, Texas",9.7
2005,"Hays County, Texas",8.4
2005,"Henderson County, Texas",12.5
2005,"Hidalgo County, Texas",5.1
2005,"Hunt County, Texas",11.3
2005,"Jefferson County, Texas",11
2005,"Johnson County, Texas",12.2
2005,"Kaufman County, Texas",7.8
